Handle,title,Image Src,Image Position,body,Published
newfoundland-awesome-luggage-covers-2103,,//cdn.shopify.com/s/files/1/2558/1496/products/front_2_df26d96f-f132-481c-9d64-9ffe7c823d4b_800x.jpg?v=1521624027,0,,TRUE
newfoundland-awesome-luggage-covers-2103,Newfoundland Awesome Luggage Covers 2103 ,//cdn.shopify.com/s/files/1/2558/1496/products/front_1_ee5d9e2f-5f23-4a62-9734-dad14c927c6e_800x.jpg?v=1521624027,1,,TRUE
newfoundland-awesome-luggage-covers-2103,,//cdn.shopify.com/s/files/1/2558/1496/products/front_3_8cb5ea3c-624d-4147-a5bc-8750c73a69cc_800x.jpg?v=1521624027,2,,TRUE
newfoundland-awesome-luggage-covers-2103,,//cdn.shopify.com/s/files/1/2558/1496/products/front_4_35390923-bea1-4522-992e-3e79ad9f5ceb_800x.jpg?v=1521624027,3,,TRUE
